Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Journal of clinical densitometry : the official journal of the International Society for Clinical Densitometry.,J Clin Densitom,1094-6950,,United States,Clinical Laboratory Techniques; Metabolism; Orthopedics,1998,9808212
Journal of clinical lipidology.,J Clin Lipidol,1933-2874,,United States,Biochemistry; Metabolism,2007,101300157
Journal of clinical research in pediatric endocrinology.,J Clin Res Pediatr Endocrinol,1308-5727,1308-5735,Turkey,Endocrinology; Pediatrics,2008,101519456
"Journal of comparative physiology. B, Biochemical, systemic, and environmental physiology.",J Comp Physiol B,0174-1578,1432-136X,Germany,Biochemistry; Metabolism; Physiology,1984,8413200
Journal of diabetes and its complications.,J Diabetes Complications,1056-8727,1873-460X,United States,Endocrinology,1992,9204583
Journal of diabetes investigation.,J Diabetes Investig,2040-1116,2040-1124,Japan,Endocrinology,2010,101520702
Journal of diabetes research.,J Diabetes Res,2314-6745,2314-6753,United States,Endocrinology,2013,101605237
Journal of diabetes science and technology.,J Diabetes Sci Technol,,1932-2968,United States,Endocrinology,2007,101306166
Journal of diabetes.,J Diabetes,1753-0393,1753-0407,Australia,Endocrinology,2009,101504326
Journal of endocrinological investigation.,J Endocrinol Invest,0391-4097,1720-8386,Italy,Endocrinology,1978,7806594
Journal of inherited metabolic disease.,J Inherit Metab Dis,0141-8955,1573-2665,United States,Metabolism,1978,7910918
Journal of molecular endocrinology.,J Mol Endocrinol,0952-5041,1479-6813,England,Endocrinology; Molecular Biology,1988,8902617
Journal of neuroendocrinology.,J Neuroendocrinol,0953-8194,1365-2826,United States,Endocrinology; Neurology,1989,8913461
Journal of obesity.,J Obes,2090-0708,2090-0716,United States,Metabolism,2010,101526295
Journal of pediatric endocrinology & metabolism : JPEM.,J Pediatr Endocrinol Metab,0334-018X,2191-0251,Germany,Endocrinology; Pediatrics,1995,9508900
Journal of pineal research.,J Pineal Res,0742-3098,1600-079X,England,Endocrinology,1984,8504412
Journal of the ASEAN Federation of Endocrine Societies.,J ASEAN Fed Endocr Soc,0857-1074,2308-118X,Philippines,Endocrinology,1981,8608483
Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS).,J Trace Elem Med Biol,0946-672X,1878-3252,Germany,Environmental Health; Metabolism,1995,9508274
Lipids in health and disease.,Lipids Health Dis,,1476-511X,England,Biochemistry; Metabolism,2002,101147696
Magnesium research.,Magnes Res,0953-1424,1952-4021,England,Drug Therapy; Metabolism; Pharmacology,1988,8900948
Metabolic brain disease.,Metab Brain Dis,0885-7490,1573-7365,United States,Brain; Metabolism,1986,8610370
Metabolic engineering.,Metab Eng,1096-7176,1096-7184,Belgium,Biomedical Engineering; Metabolism,1999,9815657
Metabolic syndrome and related disorders.,Metab Syndr Relat Disord,1540-4196,1557-8518,United States,Metabolism,2003,101150318
Metabolism: clinical and experimental.,Metabolism,0026-0495,1532-8600,United States,Metabolism,1952,0375267
Metabolomics : Official journal of the Metabolomic Society.,Metabolomics,1573-3882,1573-3890,United States,Metabolism,2005,101274889
Minerva endocrinology.,Minerva Endocrinol (Torino),2724-6507,2724-6116,Italy,Endocrinology,2021,101777342
Molecular and cellular endocrinology.,Mol Cell Endocrinol,0303-7207,1872-8057,Ireland,Cell Biology; Endocrinology; Molecular Biology,1974,7500844
Molecular genetics and metabolism.,Mol Genet Metab,1096-7192,1096-7206,United States,Biochemistry; Metabolism; Molecular Biology,1998,9805456
Molecular metabolism.,Mol Metab,,2212-8778,Germany,Metabolism,2012,101605730
Nature metabolism.,Nat Metab,,2522-5812,Germany,Metabolism,2019,101736592
Nature reviews. Endocrinology.,Nat Rev Endocrinol,1759-5029,1759-5037,England,Endocrinology,2009,101500078
Neuro endocrinology letters.,Neuro Endocrinol Lett,0172-780X,2354-4716,Sweden,Endocrinology; Neurology,1979,8008373
Neuroendocrinology.,Neuroendocrinology,0028-3835,1423-0194,Switzerland,Endocrinology; Neurology,1965,0035665
Nutrition & diabetes.,Nutr Diabetes,,2044-4052,England,Endocrinology; Metabolism; Nutritional Sciences,2011,101566341
"Nutrition, metabolism, and cardiovascular diseases : NMCD.",Nutr Metab Cardiovasc Dis,0939-4753,1590-3729,Netherlands,Cardiology; Metabolism; Nutritional Sciences; Vascular Diseases,1991,9111474
Obesity facts.,Obes Facts,1662-4025,1662-4033,Switzerland,Metabolism,2008,101469429
Obesity research & clinical practice.,Obes Res Clin Pract,1871-403X,,Netherlands,Metabolism,2007,101303911
Obesity reviews : an official journal of the International Association for the Study of Obesity.,Obes Rev,1467-7881,1467-789X,England,Metabolism,2000,100897395
Obesity surgery.,Obes Surg,0960-8923,1708-0428,United States,General Surgery; Metabolism,1991,9106714
Obesity.,Obesity (Silver Spring),1930-7381,1930-739X,United States,Metabolism; Nutritional Sciences; Physiology,2006,101264860
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA.,Osteoporos Int,0937-941X,1433-2965,England,Metabolism; Orthopedics,1990,9100105
Oxidative medicine and cellular longevity.,Oxid Med Cell Longev,1942-0900,1942-0994,United States,Cell Biology; Metabolism,2008,101479826
Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.].,Pancreatology,1424-3903,1424-3911,Switzerland,Endocrinology; Gastroenterology,2001,100966936
Pediatric diabetes.,Pediatr Diabetes,1399-543X,1399-5448,United States,Endocrinology,2000,100939345
"Pediatric endocrinology, diabetes, and metabolism.",Pediatr Endocrinol Diabetes Metab,2081-237X,2083-8441,Poland,Endocrinology; Metabolism; Pediatrics,2007,101518750
Pediatric obesity.,Pediatr Obes,2047-6302,2047-6310,England,Metabolism; Pediatrics,2012,101572033
Photosynthesis research.,Photosynth Res,0166-8595,1573-5079,Netherlands,Metabolism,1980,100954728
Photosynthetica.,Photosynthetica,0300-3604,1573-9058,Czech Republic,Botany; Metabolism,1967,0260622
Pituitary.,Pituitary,1386-341X,1573-7403,United States,Endocrinology,1998,9814578
Primary care diabetes.,Prim Care Diabetes,1751-9918,1878-0210,England,Endocrinology; Primary Health Care,2000,101463825
Problemy ėndokrinologii.,Probl Endokrinol (Mosk),0375-9660,2308-1430,Russia (Federation),Endocrinology,1967,0140673
Prostaglandins & other lipid mediators.,Prostaglandins Other Lipid Mediat,1098-8823,,United States,Endocrinology,1998,9808648
"Prostaglandins, leukotrienes, and essential fatty acids.",Prostaglandins Leukot Essent Fatty Acids,0952-3278,1532-2823,Scotland,Endocrinology,1988,8802730
Psychoneuroendocrinology.,Psychoneuroendocrinology,0306-4530,1873-3360,England,Endocrinology; Neurology; Psychiatry,1975,7612148
Redox biology.,Redox Biol,,2213-2317,Netherlands,Cell Biology; Metabolism,2013,101605639
Redox report : communications in free radical research.,Redox Rep,1351-0002,1743-2928,England,Biochemistry; Metabolism,1994,9511366
Reproductive biology and endocrinology : RB&E.,Reprod Biol Endocrinol,,1477-7827,England,Endocrinology; Reproductive Medicine,2003,101153627
Reviews in endocrine & metabolic disorders.,Rev Endocr Metab Disord,1389-9155,1573-2606,Germany,Endocrinology; Metabolism,2000,100940588
Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery.,Surg Obes Relat Dis,1550-7289,1878-7533,United States,Metabolism,2005,101233161
The Breast : official journal of the European Society of Mastology.,Breast,0960-9776,1532-3080,Netherlands,Endocrinology; Neoplasms,1992,9213011
The Journal of clinical endocrinology and metabolism.,J Clin Endocrinol Metab,0021-972X,1945-7197,United States,Endocrinology; Metabolism,1952,0375362
The Journal of endocrinology.,J Endocrinol,0022-0795,1479-6805,England,Endocrinology,1939,0375363
The lancet. Diabetes & endocrinology.,Lancet Diabetes Endocrinol,2213-8587,2213-8595,England,Endocrinology,2013,101618821
The science of diabetes self-management and care.,Sci Diabetes Self Manag Care,2635-0106,2635-0114,United States,Endocrinology; Nursing,2021,101775189
Thyroid : official journal of the American Thyroid Association.,Thyroid,1050-7256,1557-9077,United States,Endocrinology,1990,9104317
Trends in endocrinology and metabolism : TEM.,Trends Endocrinol Metab,1043-2760,1879-3061,United States,Endocrinology; Metabolism,1989,9001516
Vitamins and hormones.,Vitam Horm,0083-6729,,United States,Endocrinology; Nutritional Sciences,1943,0413601
